Date, Close
Aug-2008, 49.330
Sep-2008, 41.400
Oct-2008, 32.890
Nov-2008, 30.530
Dec-2008, 33.595
Jan-2009, 30.850
Feb-2009, 28.566
Mar-2009, 33.165
Apr-2009, 38.916
May-2009, 45.138
Jun-2009, 44.069
Jul-2009, 50.541
Aug-2009, 48.578
Sep-2009, 53.370
Oct-2009, 51.256
Nov-2009, 54.910
Dec-2009, 56.602
Jan-2010, 52.903
Feb-2010, 53.543
Mar-2010, 57.628
Apr-2010, 57.861
May-2010, 53.107
Jun-2010, 53.258
Jul-2010, 57.440
Aug-2010, 55.661
Sep-2010, 61.878
Oct-2010, 63.698
Nov-2010, 62.257
Dec-2010, 65.771
Jan-2011, 63.541
Feb-2011, 62.085
Mar-2011, 65.027
Apr-2011, 66.948
May-2011, 65.967
Jun-2011, 64.733
Jul-2011, 65.057
Aug-2011, 58.627
Sep-2011, 48.688
Oct-2011, 55.912
Nov-2011, 54.774
Dec-2011, 52.502
Jan-2012, 57.952
Feb-2012, 61.161
Mar-2012, 59.383
Apr-2012, 59.130
May-2012, 53.354
Jun-2012, 55.905
Jul-2012, 56.298
Aug-2012, 56.426
Sep-2012, 59.784
Oct-2012, 59.826
Nov-2012, 61.845
Dec-2012, 64.895
Jan-2013, 64.842
Feb-2013, 64.466
Mar-2013, 63.351
Apr-2013, 64.788
May-2013, 62.343
Jun-2013, 59.286
Jul-2013, 60.498
Aug-2013, 59.156
Sep-2013, 63.085
Oct-2013, 65.175
Nov-2013, 66.170
Dec-2013, 65.883
Jan-2014, 61.098
Feb-2014, 63.524
Mar-2014, 64.550
Apr-2014, 65.129
May-2014, 67.511
Jun-2014, 69.034
Jul-2014, 71.016
Aug-2014, 72.371
Sep-2014, 67.525
Oct-2014, 69.254
Nov-2014, 69.254
Dec-2014, 67.758
Jan-2015, 68.848
Feb-2015, 70.983
Mar-2015, 71.172
Apr-2015, 75.743
May-2015, 73.430
Jun-2015, 70.500
Jul-2015, 66.326
Aug-2015, 59.690
Sep-2015, 59.030
Oct-2015, 63.215
Nov-2015, 62.085
Dec-2015, 60.771
Jan-2016, 56.606
Feb-2016, 56.106
Mar-2016, 62.159
Apr-2016, 61.453
May-2016, 60.657
Jun-2016, 62.602
Jul-2016, 65.990
Aug-2016, 67.181
Sep-2016, 69.288
Oct-2016, 67.456
Nov-2016, 65.349
Dec-2016, 63.622
Jan-2017, 68.325
Feb-2017, 70.213
Mar-2017, 72.900
Apr-2017, 74.371
May-2017, 77.324
Jun-2017, 78.457
Jul-2017, 82.400
Aug-2017, 83.830
Sep-2017, 84.005
Oct-2017, 87.599
Nov-2017, 87.971
Dec-2017, 90.196
Jan-2018, 96.700
Feb-2018, 90.740
Mar-2018, 91.674
Apr-2018, 90.161
May-2018, 89.865
Jun-2018, 85.216
Jul-2018, 86.857
Aug-2018, 84.931
Sep-2018, 83.956
Oct-2018, 74.895
Nov-2018, 79.390
Dec-2018, 76.635
Jan-2019, 83.209
Feb-2019, 83.535
Mar-2019, 85.272
Apr-2019, 87.166
May-2019, 79.409
Jun-2019, 84.709
Jul-2019, 82.366
Aug-2019, 79.234
Sep-2019, 80.497
Oct-2019, 84.114
Nov-2019, 84.539
Dec-2019, 90.367
Jan-2020, 84.674
Feb-2020, 84.023
Mar-2020, 73.425
Apr-2020, 78.674
May-2020, 79.510
Jun-2020, 85.375
Jul-2020, 92.373
Aug-2020, 95.977
Sep-2020, 95.249
Oct-2020, 97.014
